Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Bottom Dollar,1046651176,"""6917529858516234051""",,Legendary,Hand Cannon,drifter,Energy,Void,1600,,Handling,2,Vault,false,false,4,13,,100,66,92,60,14,0,0,33,120,5,12,48,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,Aggressive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Rangefinder*,Disruption Break*,Counterbalance Stock*,Tier 2: Handling*,Gun and Run*,Kill Tracker*,Crucible Tracker,,,,,,
Razor's Edge,1796949035,"""6917529859636305739""",,Legendary,Sword,ironbanner,Power,Void,1600,,Impact,1,Vault,false,false,5,16,,0,0,60,0,0,0,0,0,0,0,63,0,0,0,0,20,0,100,90,40,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Jagged Edge,Enduring Guard*,Swordmaster's Guard,Tireless Blade*,Frenzy*,Tier 1: Impact*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,
Memory Interdict,3165547384,"""6917529892058181098""",,Legendary,Grenade Launcher,legendaryengram,Power,Void,1810,,Blast Radius,3,Vault,false,false,4,14,,71,58,0,0,13,58,33,33,120,72,5,42,0,0,0,0,0,0,0,0,0,6,false,0,84,omolon,,,Adaptive Frame*,Linear Compensator*,Smart Drift Control,Alloy Casing*,Mini Frags,Impulse Amplifier*,Chain Reaction*,Tier 3: Blast Radius*,Kill Tracker*,Crucible Tracker,,,,,,,,
Enigma's Draw,1723380073,"""6917529196755456771""",,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1600,,Stability,1,Vault,true,false,3,10,,90,91,51,49,12,0,0,48,260,20,12,47,0,0,0,0,0,0,0,0,0,12,false,0,0,fotc,,,Precision Frame*,QuickDot SAS*,Target SAS,Alloy Magazine*,Light Mag,Triple Tap*,Rangefinder*,Tier 1: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,
Austringer,3055790362,"""6917529767600368898""",,Legendary,Hand Cannon,dcv,KineticSlot,Kinetic,1600,,Handling,2,Vault,true,false,5,17,,95,80,84,61,14,0,0,59,140,46,11,49,0,0,0,0,0,0,0,0,0,13,false,0,452,,,,Adaptive Frame*,Full Bore,Hammer-Forged Rifling*,Armor-Piercing Rounds*,Flared Magwell,Snapshot Sights*,Demolitionist*,Targeting Adjuster*,Tier 2: Handling*,To Excess*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Taraxippos,1389546626,"""6917529897389843207""",keep,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Stability,1,Vault,true,false,6,20,Guardian Games,54,75,60,40,19,0,0,48,200,59,15,84,0,0,0,0,0,0,0,0,0,28,false,0,92,omolon,,,Lightweight Frame*,Polygonal Rifling,Fluted Barrel*,Accurized Rounds*,Zen Moment*,Kill Clip,Explosive Payload*,Icarus Grip*,Tier 1: Stability*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Bonechiller,4037745684,"""6917529898711722098""",,Legendary,Shotgun,europa,Energy,Void,1800,,Range,1,Vault,false,false,4,12,,60,61,70,57,12,0,0,46,65,42,6,51,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Pinpoint Slug Frame*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,Steady Rounds,Surplus*,One for All*,Tier 1: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Exalted Truth,3102421004,"""6917529867916684862""",,Legendary,Hand Cannon,trials,Energy,Void,1600,,Reload Speed,3,Vault,false,false,5,19,,95,72,84,55,14,0,0,63,140,30,14,60,0,0,0,0,0,0,0,0,0,32,false,0,0,suros,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Extended Mag*,Alloy Magazine,Rangefinder*,Rampage*,Tier 3: Reload Speed*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,
Seventh Seraph Carbine,4070357005,"""6917529899300266667""",,Legendary,Auto Rifle,dungeon,KineticSlot,Kinetic,1810,,Reload Speed,1,Vault,false,false,5,19,,84,34,29,68,16,0,0,44,450,52,36,29,0,0,0,0,0,0,0,0,0,17,false,0,0,,,,Precision Frame*,Extended Barrel*,Fluted Barrel,Tactical Mag*,Flared Magwell,Fourth Time's the Charm*,Swashbuckler*,Tier 1: Reload Speed*,Rasputin's Arsenal*,Kill Tracker*,Crucible Tracker,,,,,,,
The Keening,409551876,"""6917529859030707778""",,Legendary,Sidearm,crucible,Energy,Arc,1600,,Range,1,Vault,true,false,4,13,,100,88,49,44,12,0,0,61,300,25,15,60,0,0,0,0,0,0,0,0,0,12,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Fluted Barrel,Armor-Piercing Rounds*,Flared Magwell,Under Pressure*,Threat Detector,High-Impact Reserves*,Wellspring,Targeting Adjuster*,Tier 1: Range*,One Quiet Moment*,Kill Tracker*,Crucible Tracker,,,,
Path of Least Resistance,2827764482,"""6917529846581372371""",,Legendary,Trace Rifle,rasputin,Energy,Arc,1600,,Reload Speed,4,Vault,true,false,5,19,,100,100,6,69,16,0,0,73,1000,24,104,62,0,0,0,0,0,0,0,0,0,12,false,0,0,omolon,,,Adaptive Frame*,Arrowhead Brake*,Extended Barrel,Ionized Battery*,Light Battery,Triple Tap*,Gutshot Straight*,Tier 4: Reload Speed*,Ambush*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
CALUS Mini-Tool,2490988246,"""6917529861787666141""",,Legendary,Submachine Gun,dcv,Energy,Solar,1600,,Range,1,Vault,false,false,5,17,,80,49,15,46,14,0,0,54,900,31,37,70,0,0,0,0,0,0,0,0,0,28,false,0,1,,,,MIDA Synergy*,Corkscrew Rifling*,Extended Barrel,Accurized Rounds*,Appended Mag,Moving Target*,Surrounded*,Tier 1: Range*,To Excess*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Hung Jury SR4,3832743906,"""6917529900577095526""",,Legendary,Scout Rifle,nightfall,KineticSlot,Kinetic,1800,,Range,1,Vault,false,false,6,20,,100,67,62,50,22,0,0,55,180,26,19,60,0,0,0,0,0,0,0,0,0,32,false,0,0,omolon,,,Precision Frame*,Arrowhead Brake*,Corkscrew Rifling,Extended Mag*,Alloy Magazine,Rapid Hit*,Frenzy*,Tier 1: Range*,Stunning Recovery*,Vanguard's Vindication,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
The Vision,2414141462,"""6917529878936651240""",,Legendary,Sidearm,legendaryengram,Energy,Arc,1800,,Handling,5,Vault,false,false,4,14,,90,70,75,43,12,0,0,83,491,32,27,58,0,0,0,0,0,0,0,0,0,12,false,0,0,omolon,,,Omolon Adaptive Frame*,Shortspec SAS*,Target SAS,Accurized Rounds*,Tactical Mag,Ambitious Assassin*,Elemental Capacitor*,Tier 5: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Boudica-C,1916287826,"""6917529859121370383""",,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1600,,Handling,1,Vault,false,false,5,18,,100,85,51,68,12,0,0,43,260,25,12,44,0,0,0,0,0,0,0,0,0,22,false,0,0,hakke,,,Precision Frame*,Arrowhead Brake*,Chambered Compensator,High-Caliber Rounds*,Ricochet Rounds,Moving Target*,Frenzy*,Tier 1: Handling*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,,,
Astral Horizon,2653171213,"""6917529900346721723""",,Legendary,Shotgun,trials,KineticSlot,Kinetic,1800,,Reload Speed,1,Vault,false,false,6,20,,62,34,80,29,12,0,0,47,60,34,4,33,0,0,0,0,0,0,0,0,0,5,false,0,15,,,,Aggressive Frame*,Smoothbore,Corkscrew Rifling*,Assault Mag*,Appended Mag,Surplus*,One-Two Punch*,Quick Access Sling*,Tier 1: Reload Speed*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,
Taraxippos,1389546626,"""6917529899822006059""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,2,Vault,false,false,6,20,Guardian Games,54,75,60,40,19,0,0,47,200,59,15,86,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Fluted Barrel*,Full Bore,Accurized Rounds*,Steady Rounds,Fourth Time's the Charm*,Cascade Point*,Tier 2: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Archon's Thunder,1967303408,"""6917529798390678776""",,Legendary,Machine Gun,ironbanner,Power,Solar,1600,,Reload Speed,3,Vault,true,false,5,16,,86,27,70,59,16,0,0,42,360,36,44,28,0,0,0,0,0,0,0,0,0,21,false,0,0,,,,High-Impact Frame*,Chambered Compensator*,Corkscrew Rifling,Steady Rounds*,Alloy Magazine,Moving Target*,Thresh*,Tier 3: Reload Speed*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,,
IKELOS_HC_v1.0.3,1731355324,"""6917529859645856735""",,Legendary,Hand Cannon,rasputin,Energy,Void,1600,,,,Vault,false,false,5,19,,91,75,78,27,14,0,0,80,180,33,12,33,0,0,0,0,0,0,0,0,0,21,true,1,35,,,,Precision Frame*,Polygonal Rifling*,Steady Rounds*,Subsistence*,Adaptive Munitions*,*,Rasputin's Arsenal*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Synchronic Roulette,811403305,"""6917529873438403888""",,Legendary,Submachine Gun,neomuna,KineticSlot,Strand,1791,,Stability,3,Vault,false,false,6,20,,93,52,25,53,14,0,0,52,600,19,26,22,0,0,0,0,0,0,0,0,0,18,false,0,280,,,,Precision Frame*,Hammer-Forged Rifling,Polygonal Rifling*,Armor-Piercing Rounds*,Light Mag,Keep Away*,Kill Clip*,Minor Spec*,Tier 3: Stability*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,
Taraxippos,1389546626,"""6917529902494674084""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,10,Vault,false,false,6,20,Guardian Games,54,75,60,25,19,0,0,62,200,59,15,94,0,0,0,0,0,0,0,0,0,20,false,0,0,omolon,,,Lightweight Frame*,Fluted Barrel*,Hammer-Forged Rifling,Steady Rounds*,Flared Magwell,Zen Moment*,Fourth Time's the Charm,Cascade Point*,Masterworked: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Autumn Wind,3110377595,"""6917529900983471169""",,Legendary,Pulse Rifle,crucible,KineticSlot,Kinetic,1800,,Reload Speed,2,Vault,false,false,6,20,,63,80,23,52,17,0,0,37,540,36,37,20,0,0,0,0,0,0,0,0,0,15,false,0,0,,,,Rapid-Fire Frame*,Full Bore*,Polygonal Rifling,Armor-Piercing Rounds*,Light Mag,Perpetual Motion*,Headseeker*,Adrenaline Junkie,Tier 2: Reload Speed*,One Quiet Moment*,Kill Tracker*,Crucible Tracker,,,,,,
Survivor's Epitaph,310708513,"""6917529496357398688""",,Legendary,Hand Cannon,crucible,KineticSlot,Kinetic,1600,,Handling,1,Vault,true,false,4,14,,93,74,78,42,14,0,0,56,180,45,15,34,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Precision Frame*,Extended Barrel*,Smallbore,Appended Mag*,High-Caliber Rounds,Killing Wind*,Moving Target*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Staccato-46,4019668921,"""6917529815941029360""",,Legendary,Scout Rifle,legendaryengram,Energy,Solar,1600,,Reload Speed,3,Vault,true,false,5,17,,58,63,62,39,20,0,0,54,180,43,16,38,0,0,0,0,0,0,0,0,0,9,false,0,0,suros,,,Precision Frame*,Corkscrew Rifling,Polygonal Rifling*,Accurized Rounds,Alloy Magazine*,Under Pressure*,Explosive Payload*,Boss Spec*,Tier 3: Reload Speed*,Suros Synergy*,Kill Tracker*,Crucible Tracker,,,,,,
Allied Demand,1532276803,"""6917529860360813903""",,Legendary,Sidearm,ironbanner,KineticSlot,Kinetic,1600,,Handling,1,Vault,false,false,5,18,,97,85,49,39,12,0,0,77,300,40,15,54,0,0,0,0,0,0,0,0,0,23,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Tactical Mag*,Extended Mag,Rangefinder*,Multikill Clip*,Tier 1: Handling*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,,
Nameless Midnight,996109059,"""6917529896647940441""",,Legendary,Scout Rifle,strikes,KineticSlot,Kinetic,1800,,Range,2,Vault,true,false,6,20,,79,62,62,52,20,0,0,43,180,44,16,56,0,0,0,0,0,0,0,0,0,10,false,0,14,,,,Precision Frame*,Fluted Barrel*,Hammer-Forged Rifling,Accurized Rounds*,Flared Magwell,Outlaw*,Kill Clip*,Tier 2: Range*,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,,,
Red Herring,3175851496,"""6917529865328964481""",,Legendary,Rocket Launcher,campaign,Power,Void,1600,,Handling,2,Vault,true,false,5,16,,66,62,0,0,20,60,43,47,20,72,1,42,0,0,0,0,0,0,0,0,0,3,false,0,11,,,,Adaptive Frame*,Confined Launch*,Smart Drift Control,Alloy Casing*,Implosion Rounds,Killing Wind*,Golden Tricorn*,Tier 2: Handling*,Psychohack*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Extract Pattern*,Empty Weapon Level Boost Socket*,,,,
Fire and Forget,2272041093,"""6917529859644235820""",,Legendary,Linear Fusion Rifle,rasputin,Power,Stasis,1600,,,,Vault,false,false,5,19,,75,60,38,35,25,0,0,54,0,22,5,27,533,0,0,0,0,0,0,0,0,7,true,1,0,veist,,,Aggressive Frame*,Polygonal Rifling*,Accelerated Coils*,Perfect Float*,Frenzy*,*,Ambush*,Veist Stinger,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Deterministic Chaos,449318888,"""6917529871062030362""",,Exotic,Machine Gun,neomuna,Power,Void,1759,,,,Vault,false,false,6,20,,80,64,70,49,16,0,0,65,360,38,48,49,0,0,0,0,0,0,0,0,0,19,false,0,86,,,,Heavy Metal*,Polygonal Rifling*,Ricochet Rounds*,Vexadecimal*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Disparity,1751893422,"""6917529864699092226""",,Legendary,Pulse Rifle,rasputin,KineticSlot,Stasis,1600,,Reload Speed,2,Vault,false,false,5,19,,67,45,35,75,19,0,0,64,450,30,39,45,0,0,0,0,0,0,0,0,0,20,false,0,9,hakke,,,Aggressive Burst*,Fluted Barrel*,Smallbore,Accurized Rounds*,Steady Rounds,Eye of the Storm*,Desperado*,Tier 2: Reload Speed*,Ambush*,Hakke Breach Armaments,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Extract Pattern*,Empty Weapon Level Boost Socket*,,,
Perses-D,1019000888,"""6917529901112586310""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1800,,Handling,5,Vault,false,false,5,16,,74,36,67,68,22,0,0,27,150,33,16,51,0,0,0,0,0,0,0,0,0,12,false,0,0,hakke,,,High-Impact Frame*,Fluted Barrel*,Smallbore,Appended Mag*,Extended Mag,Rapid Hit*,Explosive Payload*,Tier 5: Handling*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,,,
Roar of the Bear,4009352833,"""6917529861328826467""",,Legendary,Rocket Launcher,ironbanner,Power,Solar,1600,,Reload Speed,3,Vault,false,false,5,18,,45,71,0,0,20,85,52,57,15,37,1,65,0,0,0,0,0,0,0,0,0,7,false,0,0,,,,High-Impact Frame*,Countermass,Hard Launch*,Alloy Casing,Impact Casing*,Impulse Amplifier*,Chain Reaction*,Boss Spec*,Tier 3: Reload Speed*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,
Bad Omens,991314988,"""6917529210144949278""",,Legendary,Rocket Launcher,drifter,Power,Void,1600,,Blast Radius,4,Vault,true,false,3,11,,76,34,0,0,20,24,82,17,25,91,1,35,0,0,0,0,0,0,0,0,0,3,false,0,0,,,,Aggressive Frame*,Hard Launch,Quick Launch*,Alloy Casing*,Implosion Rounds,Tracking Module*,Cluster Bomb*,Gambit Leather*,Freehand Grip*,Tier 4: Blast Radius*,Kill Tracker*,Crucible Tracker,,,,,,
True Prophecy,2742838700,"""6917529899822004476""",,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,,Reload Speed,1,Vault,false,false,3,10,,93,67,92,73,14,0,0,22,120,23,9,30,0,0,0,0,0,0,0,0,0,10,false,0,0,fotc,,,Aggressive Frame*,HitMark HCS*,Sureshot HCS,Accurized Rounds*,Flared Magwell,Opening Shot*,Rampage*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,,
Wastelander M5,1679868061,"""6917529822419260904""",,Legendary,Shotgun,30th,KineticSlot,Kinetic,1600,,Handling,1,Vault,true,false,4,15,,51,49,65,59,12,0,0,45,80,69,7,67,0,0,0,0,0,0,0,0,0,2,false,0,18,,,,Lightweight Frame*,Smoothbore*,Full Choke,Tactical Mag*,Extended Mag,Slideshot*,Trench Barrel*,Tier 1: Handling*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Hawkmoon,3856705927,"""6917529878941339631""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1799,,,,Vault,false,false,4,12,,100,93,84,52,14,0,0,73,140,59,8,71,0,0,0,0,0,0,0,0,0,26,false,0,17,,,,Paracausal Shot*,Arrowhead Brake*,Alloy Magazine*,Rangefinder*,Heavy Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Palmyra-B,3489657138,"""6917529900963857138""",,Legendary,Rocket Launcher,legendaryengram,Power,Stasis,1809,,Reload Speed,2,Vault,false,false,5,16,,65,62,0,0,20,45,44,35,15,54,1,38,0,0,0,0,0,0,0,0,0,5,false,0,0,hakke,,,Häkke Precision Frame*,Volatile Launch*,Linear Compensator,Alloy Casing*,Impact Casing,Auto-Loading Holster*,Chain Reaction*,Tier 2: Reload Speed*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
The Number,2492081469,"""6917529432363763336""",,Legendary,Auto Rifle,legendaryengram,Energy,Arc,1600,,Handling,1,Vault,true,false,4,14,,85,44,29,55,20,0,0,60,450,36,33,37,0,0,0,0,0,0,0,0,0,10,false,0,0,omolon,,,Precision Frame*,Polygonal Rifling*,Smallbore,Armor-Piercing Rounds,Ricochet Rounds*,Killing Wind*,One for All*,Counterbalance Stock*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,
Stars in Shadow,2050789284,"""6917529229365466550""",,Legendary,Pulse Rifle,crucible,Energy,Solar,1600,,Stability,5,Vault,true,false,4,12,,79,28,33,62,18,0,0,58,340,34,34,23,0,0,0,0,0,0,0,0,0,10,false,0,2,,,,High-Impact Frame*,Full Bore,Polygonal Rifling*,Appended Mag*,Extended Mag,Killing Wind*,Eye of the Storm*,Counterbalance Stock*,Tier 5: Stability*,Kill Tracker,Crucible Tracker*,,,,,,,
Retrofit Escapade,3103325054,"""6917529866733806406""",,Legendary,Machine Gun,seasonpass,Power,Void,1600,,Range,3,Vault,true,false,5,19,,85,70,25,26,16,0,0,49,900,77,84,66,0,0,0,0,0,0,0,0,0,12,false,0,0,suros,,,Rapid-Fire Frame*,Arrowhead Brake*,Polygonal Rifling,Tactical Mag*,Steady Rounds,Heating Up*,Tap the Trigger*,Tier 3: Range*,Ambush*,Suros Synergy,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Matador 64,2563012876,"""6917529897301111700""",,Legendary,Shotgun,30th,Energy,Arc,1800,,Reload Speed,2,Vault,false,false,4,15,,77,65,80,72,12,0,0,70,70,50,5,43,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Precision Frame*,Smallbore*,Full Choke,Assault Mag*,Steady Rounds,Lead from Gold*,Opening Shot*,Quick Access Sling*,Tier 2: Reload Speed*,Kill Tracker,Crucible Tracker*,,,,,,,
Witherhoard,2357297366,"""6917529849739083154""",,Exotic,Grenade Launcher,,KineticSlot,Kinetic,1800,,Handling,10,Vault,true,false,3,11,,100,84,0,0,12,5,12,68,90,33,6,100,0,0,0,0,0,0,0,0,0,6,false,0,222,,"Bonk, Delta",,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Kill Tracker*,Crucible Tracker,Witherhoard Catalyst*,,,,,,,,,,
Frontier's Cry,1141547457,"""6917529776717207252""",,Legendary,Hand Cannon,ironbanner,Energy,Solar,1600,,Handling,3,Vault,true,false,5,16,,100,75,78,42,14,0,0,64,180,57,15,54,0,0,0,0,0,0,0,0,0,19,false,0,0,,,,Precision Frame*,Arrowhead Brake*,Smallbore,Tactical Mag*,Steady Rounds,Rapid Hit*,Kill Clip*,Tier 3: Handling*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,,
Reed's Regret,1399243961,"""6917529496357400964""",,Legendary,Linear Fusion Rifle,trials,Power,Stasis,1600,,Stability,3,Vault,true,false,4,15,,76,66,41,52,25,0,0,58,0,28,6,31,533,0,0,0,0,0,0,0,0,14,false,0,0,,,,Precision Frame*,Arrowhead Brake,Smallbore*,Enhanced Battery*,Ionized Battery,Triple Tap*,Firing Line*,Radar Tuner*,Tier 3: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,
Taraxippos,1389546626,"""6917529899773573816""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1809,,Range,10,Vault,false,false,6,20,Guardian Games,84,75,60,40,19,0,0,47,200,69,16,79,0,0,0,0,0,0,0,0,0,13,false,0,1,omolon,,,Lightweight Frame*,Arrowhead Brake*,Corkscrew Rifling,Tactical Mag*,Flared Magwell,No Distractions*,Gutshot Straight,Focused Fury*,Cascade Point,Masterworked: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,
Ecliptic Distaff,3001205424,"""6917529884867012261""",,Legendary,Glaive,banshee,Energy,Void,1805,,"Shield Duration, Charge Time",10,Vault,false,false,6,20,,0,73,80,68,0,0,0,0,55,54,5,49,0,0,0,0,0,0,0,0,47,12,false,0,31,,Bonk,,Adaptive Glaive*,Ballistic Tuning*,Alloy Magazine*,Replenishing Aegis*,Immovable Object,Close to Melee,Destabilizing Rounds*,Backup Mag*,Masterworked: Shield Duration*,Kill Tracker*,Crucible Tracker,Vanguard's Vindication*,One Quiet Moment,Gun and Run,,,,
Wastelander M5,1679868061,"""6917529822796029009""",,Legendary,Shotgun,30th,KineticSlot,Kinetic,1600,,Handling,10,Vault,true,false,4,15,,51,49,65,49,12,0,0,45,80,39,7,81,0,0,0,0,0,0,0,0,0,12,false,0,179,,,,Lightweight Frame*,Rifled Barrel,Corkscrew Rifling*,Extended Mag*,Steady Rounds,Perpetual Motion*,Opening Shot*,Heat-Shielded*,Sprint Grip*,Masterworked: Handling*,Hot Swap*,Kill Tracker,Crucible Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Dead Man's Tale,3654674561,"""6917529853391772415""",,Exotic,Scout Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,false,false,4,13,,100,60,67,75,18,0,0,50,120,50,14,45,0,0,0,0,0,0,0,0,0,17,false,0,0,tex-mechanica,,,Cranial Spike*,Hammer-Forged Rifling*,Ricochet Rounds*,Moving Target*,Fitted Stock*,Kill Tracker*,Crucible Tracker,Dead Man's Tale Catalyst*,,,,,,,,,,
The Fourth Horseman,1665952087,"""6917529875160276429""",,Exotic,Shotgun,,Energy,Arc,1780,,,,Vault,false,false,3,10,,100,39,80,22,12,0,0,44,360,36,4,33,0,0,0,0,0,0,0,0,0,6,false,0,0,,,,Thunderer*,Arrowhead Brake*,Assault Mag*,Broadside*,Fitted Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
The Militia's Birthright,1854753405,"""6917529896799683046""",,Legendary,Grenade Launcher,nightfall,KineticSlot,Kinetic,1810,,Velocity,1,Vault,false,false,6,20,,62,75,0,0,13,0,63,38,90,63,1,69,0,0,0,0,0,0,0,0,0,4,false,0,20,,,,Lightweight Frame*,Confined Launch*,Linear Compensator,Disorienting Grenades*,Implosion Rounds,Thresh*,Under-Over*,Tier 1: Velocity*,Stunning Recovery*,Vanguard's Vindication,Field-Tested,Kill Tracker*,Crucible Tracker,,,,,
Heir Apparent,2084878005,"""6917529897092239496""",,Exotic,Machine Gun,events,Power,Solar,1600,,,,Vault,false,false,3,10,Guardian Games,95,90,39,65,0,0,0,58,900,50,129,63,0,0,0,0,0,0,0,0,0,9,false,0,221,,,,Heavy Slug Thrower*,Corkscrew Rifling*,Appended Mag*,Armor of the Colossus*,Combat Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Taraxippos,1389546626,"""6917529899734848696""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Range,10,Vault,true,false,6,20,Guardian Games,84,75,60,40,19,0,0,47,200,69,16,79,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Arrowhead Brake*,Polygonal Rifling,Tactical Mag*,Extended Mag,Zen Moment*,Offhand Strike,Hatchling*,Masterworked: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
The Supremacy,686951703,"""6917529839449228307""",,Legendary,Sniper Rifle,lastwish,KineticSlot,Kinetic,1600,,Stability,2,Vault,true,false,2,4,,70,82,55,32,40,0,0,50,140,62,7,63,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Corkscrew Rifling,Full Bore,Appended Mag*,High-Caliber Rounds,Snapshot Sights*,Rampage*,Targeting Adjuster*,Tier 2: Stability*,Kill Tracker*,Crucible Tracker,,,,,,
Out of Bounds,2988121501,"""6917529818491437985""",,Legendary,Submachine Gun,crucible,Energy,Arc,1600,,Reload Speed,1,Vault,true,false,5,18,,95,55,15,32,14,0,0,53,900,29,36,67,0,0,0,0,0,0,0,0,0,23,false,0,0,omolon,,,Lightweight Frame*,Full Bore,Polygonal Rifling*,Alloy Magazine*,Flared Magwell,Dynamic Sway Reduction*,Rangefinder*,Tier 1: Reload Speed*,One Quiet Moment*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
